placeID,placeKind,officialName,prefecture,evidenceStatus,evidenceKind,evidenceProvider,evidenceURL,verifiedAt,notes
jp-kanagawa-tsurugaoka-hachimangu,shrine,鶴岡八幡宮,神奈川県,confirmed,official_tourism,鎌倉市観光協会 鎌倉観光公式ガイド,https://www.trip-kamakura.com/facility/detail.php?genre=%E8%A6%B3%E3%82%8B&id=54&subcategory=1,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-nara-kasuga-taisha,shrine,春日大社,奈良県,confirmed,official_tourism,奈良県ビジターズビューロー Official Nara Travel Guide,https://www.visitnara.jp/venues/A00487/,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-iwate-chusonji,temple,関山 中尊寺,岩手県,needs_review,,www.chusonji.or.jp,https://www.chusonji.or.jp/worship/access.html,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-nagano-zenkoji,temple,善光寺,長野県,confirmed,official_tourism,長野県観光機構 Go! NAGANO,https://www.go-nagano.net/nature-and-outdoors/id22201,2026-07-22,長野県公式観光案内への掲載と令和6年年間628万7千人地点を確認
jp-fukui-daihonzan-eiheiji,temple,大本山永平寺,福井県,confirmed,official_tourism,福井県観光連盟 ふくいドットコム,https://www.fuku-e.com/spot/detail_1089.html,2026-07-22,福井県公式観光案内への掲載と令和6年年間54万4千人地点を確認
jp-wakayama-koyasan-kongobuji,temple,高野山真言宗 総本山金剛峯寺,和歌山県,confirmed,official_tourism,和歌山県観光連盟 和歌山県公式観光サイト,https://www.wakayama-kanko.or.jp/spots/detail_524.html,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-osaka-washu-shitennoji,temple,和宗総本山 四天王寺,大阪府,needs_review,,www.shitennoji.or.jp,https://www.shitennoji.or.jp/access.html,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-aichi-atsuta-jingu,shrine,熱田神宮,愛知県,confirmed,official_tourism,aichinow.pref.aichi.jp,https://aichinow.pref.aichi.jp/spots/detail/10/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-kitano-tenmangu,shrine,北野天満宮,京都府,confirmed,official_tourism,京都市観光協会 京都観光Navi,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=2497,2026-07-22,自治体・観光協会・DMO等の公式観光案内への掲載を確認
jp-osaka-sumiyoshi-taisha,shrine,住吉大社,大阪府,needs_review,,www.sumiyoshitaisha.net,https://www.sumiyoshitaisha.net/access/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-oita-usa-jingu,shrine,宇佐神宮,大分県,confirmed,official_tourism,www.visit-oita.jp,https://www.visit-oita.jp/spots/detail/4565,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kagoshima-kirishima-jingu,shrine,霧島神宮,鹿児島県,confirmed,official_tourism,visitkirishima.com,https://visitkirishima.com/kirishima-jingu/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kagawa-kotohira-gu,shrine,金刀比羅宮,香川県,needs_review,,www.konpira.or.jp,https://www.konpira.or.jp/?language=JAPANESE&stageID=hp_time,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-wakayama-kumano-nachi-taisha,shrine,熊野那智大社,和歌山県,confirmed,official_tourism,和歌山県観光連盟 わかやま観光,https://www.wakayama-kanko.or.jp/spots/detail_482.html,2026-07-22,和歌山県公式観光案内への掲載を確認
jp-fukuoka-munakata-taisha-hetsu-gu,shrine,宗像大社 辺津宮,福岡県,needs_review,,munakata-taisha.or.jp,https://munakata-taisha.or.jp/about_hetsu.html,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-nagano-togakushi-jinja-chusha,shrine,戸隠神社 中社,長野県,needs_review,,www.togakushi-jinja.com,https://www.togakushi-jinja.com/access,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-niigata-yahiko-jinja,shrine,彌彦神社,新潟県,needs_review,,yahiko-jinjya.or.jp,https://yahiko-jinjya.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-nara-horyuji,temple,聖徳宗総本山 法隆寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00506/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-jishoji-ginkakuji,temple,慈照寺（銀閣寺）,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=308,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-sanjusangendo,temple,蓮華王院 三十三間堂,京都府,needs_review,,www.sanjusangendo.jp,https://www.sanjusangendo.jp/visit/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-shiga-hieizan-enryakuji,temple,天台宗総本山 比叡山延暦寺,滋賀県,confirmed,official_tourism,京都府観光連盟公式サイト,https://www.kyoto-kankou.or.jp/info_search/9048,2026-07-22,京都府観光連盟の広域観光案内への掲載を確認。所在地は滋賀県大津市
jp-kanagawa-kamakura-kotokuin,temple,鎌倉大仏殿高徳院,神奈川県,needs_review,,www.kotoku-in.jp,https://www.kotoku-in.jp/?lang=ja,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-kanagawa-kamakura-hasedera,temple,鎌倉 長谷寺,神奈川県,needs_review,,www.hasedera.jp,https://www.hasedera.jp/about/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-yamagata-risshakuji-yamadera,temple,宝珠山 立石寺,山形県,needs_review,,www.kankou.yamagata.yamagata.jp,https://www.kankou.yamagata.yamagata.jp/db/cgi-bin/search/search.cgi?c=20&d01=10086382911950&panel=detail,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-iwate-motsuji,temple,天台宗 別格本山 毛越寺,岩手県,needs_review,,motsuji.or.jp,https://motsuji.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-miyagi-matsushima-zuiganji,temple,国宝 瑞巌寺,宮城県,needs_review,,www.zuiganji.or.jp,https://www.zuiganji.or.jp/guide/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-aomori-osorezan-bodaiji,temple,恐山菩提寺,青森県,confirmed,official_tourism,青森県観光国際交流機構 Amazing AOMORI,https://aomori-tourism.com/feature/detail_48.html,2026-07-22,青森県公式観光案内への掲載と令和6年年間17万6946人地点を確認
jp-kyoto-yasaka-jinja,shrine,八坂神社,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=474,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-heian-jingu,shrine,平安神宮,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=453,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-kamigamo-jinja,shrine,賀茂別雷神社（上賀茂神社）,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=253,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-shimogamo-jinja,shrine,賀茂御祖神社（下鴨神社）,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/flower/momiji/single.php?flower_id=1210,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-kifune-jinja,shrine,貴船神社,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=261,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-iwashimizu-hachimangu,shrine,石清水八幡宮,京都府,confirmed,official_tourism,www.kyoto-kankou.or.jp,https://www.kyoto-kankou.or.jp/info_search/390,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-matsunoo-taisha,shrine,松尾大社,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=466,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-kenninji,temple,建仁寺,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=276,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-nanzenji,temple,南禅寺,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=436,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-ryoanji,temple,龍安寺,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?tourism_id=482,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-ninnaji,temple,仁和寺,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=439,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-tenryuji,temple,天龍寺,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=428,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-toji,temple,教王護国寺（東寺）,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=262,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-nishi-hongwanji,temple,本願寺（西本願寺）,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=&tourism_id=215,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-higashi-hongwanji,temple,真宗本廟（東本願寺）,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=507,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-daitokuji,temple,大徳寺,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=410,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-eikando,temple,禅林寺（永観堂）,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=397,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-kurama-dera,temple,鞍馬寺,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=270,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-sanzenin,temple,三千院,京都府,confirmed,official_tourism,www.kyoto-kankou.or.jp,https://www.kyoto-kankou.or.jp/info_search/237,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kyoto-myoshinji,temple,妙心寺,京都府,confirmed,official_tourism,ja.kyoto.travel,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=485,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-kohfukuji,temple,法相宗大本山 興福寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00486/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-yakushiji,temple,法相宗大本山 薬師寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00499/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-toshodaiji,temple,律宗総本山 唐招提寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00500/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-gangoji,temple,元興寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00495/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-saidaiji,temple,真言律宗総本山 西大寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00498/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-shinyakushiji,temple,新薬師寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00496/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-akishinodera,temple,秋篠寺,奈良県,confirmed,official_tourism,narashikanko.or.jp,https://narashikanko.or.jp/spot/detail_10018.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-daianji,temple,大安寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/E02045/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-hokkeji,temple,法華寺門跡,奈良県,confirmed,official_tourism,narashikanko.or.jp,https://narashikanko.or.jp/spot/detail_10014.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-hasedera,temple,総本山 長谷寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00517/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-muroji,temple,大本山 室生寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00527/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-okadera,temple,東光山 岡寺（龍蓋寺）,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00523/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-tachibanadera,temple,仏頭山上宮皇院 橘寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00856/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-taimadera,temple,當麻寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00511/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-kinpusenji,temple,金峯山修験本宗 総本山 金峯山寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00532/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-chogosonshiji,temple,信貴山朝護孫子寺,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00509/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-abemonjuin,temple,安倍文殊院,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00516/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-oomiwa-jinja,shrine,大神神社,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00515/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-kashihara-jingu,shrine,橿原神宮,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00520/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-nara-isonokami-jingu,shrine,石上神宮,奈良県,confirmed,official_tourism,www.visitnara.jp,https://www.visitnara.jp/venues/A00513/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-yasukuni-jinja,shrine,靖国神社,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/spot/466/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-kanda-myojin,shrine,神田神社（神田明神）,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/spot/17/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-hie-jinja,shrine,日枝神社,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/en/spot/343/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-tokyo-daijingu,shrine,東京大神宮,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/spot/42/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-nezu-jinja,shrine,根津神社,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/spot/70/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-tomioka-hachimangu,shrine,富岡八幡宮,東京都,needs_review,,www.city.koto.lg.jp,https://www.city.koto.lg.jp/promotion/spot/tomioka.html,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-tokyo-yushima-tenmangu,shrine,湯島天満宮,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/spot/116/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-okunitama-jinja,shrine,大國魂神社,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/spot/377/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-hanazono-jinja,shrine,花園神社,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/destinations/western-tokyo/shinjuku/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-oji-jinja,shrine,王子神社,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/spot/597/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-zojoji,temple,大本山 増上寺,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/jp/spot/47/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-tsukiji-hongwanji,temple,築地本願寺,東京都,needs_review,,tsukijihongwanji.jp,https://tsukijihongwanji.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-tokyo-shibamata-taishakuten,temple,柴又帝釈天 題経寺,東京都,needs_review,,www.taishakuten.or.jp,https://www.taishakuten.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-tokyo-takaosan-yakuoin,temple,高尾山薬王院,東京都,confirmed,official_tourism,www.gotokyo.org,https://www.gotokyo.org/en/spot/284/index.html,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-tokyo-jindaiji,temple,深大寺,東京都,needs_review,,www.jindaiji.or.jp,https://www.jindaiji.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-tokyo-ikegami-honmonji,temple,日蓮宗大本山 池上本門寺,東京都,needs_review,,honmonji.jp,https://honmonji.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-tokyo-sengakuji,temple,萬松山 泉岳寺,東京都,needs_review,,sengakuji.or.jp,https://sengakuji.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-tokyo-gokokuji,temple,大本山 護国寺,東京都,needs_review,,www.gokokuji.or.jp,https://www.gokokuji.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-tokyo-kaneiji,temple,東叡山 寛永寺,東京都,needs_review,,kaneiji.jp,https://kaneiji.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-tokyo-gotokuji,temple,大谿山 豪徳寺,東京都,needs_review,,gotokuji.jp,https://gotokuji.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-kanagawa-kamakura-engakuji,temple,臨済宗大本山 円覚寺,神奈川県,needs_review,,www.engakuji.or.jp,https://www.engakuji.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-kanagawa-kamakura-kenchoji,temple,臨済宗建長寺派 大本山 建長寺,神奈川県,needs_review,,www.kenchoji.com,https://www.kenchoji.com/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-kanagawa-kamakura-hokokuji,temple,報国寺,神奈川県,needs_review,,houkokuji.or.jp,https://houkokuji.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-kanagawa-kamakura-meigetsuin,temple,明月院,神奈川県,confirmed,official_tourism,www.trip-kamakura.com,https://www.trip-kamakura.com/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kanagawa-kamakura-jochiji,temple,臨済宗円覚寺派 浄智寺,神奈川県,confirmed,official_tourism,www.trip-kamakura.com,https://www.trip-kamakura.com/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kanagawa-kamakura-jomyoji,temple,稲荷山 浄妙寺,神奈川県,confirmed,official_tourism,www.trip-kamakura.com,https://www.trip-kamakura.com/model_course/detail.php?id=35,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kanagawa-kamakura-sugimotodera,temple,大蔵山 杉本寺,神奈川県,needs_review,,sugimotodera.com,https://sugimotodera.com/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-kanagawa-kamakura-komyoji,temple,浄土宗大本山 光明寺,神奈川県,needs_review,,komyoji-kamakura.or.jp,https://komyoji-kamakura.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
jp-kanagawa-kamakura-gokurakuji,temple,霊鷲山 極楽寺,神奈川県,confirmed,official_tourism,www.trip-kamakura.com,https://www.trip-kamakura.com/,2026-07-21,自治体・観光協会・DMO等の公式観光案内への掲載を既存出典で確認
jp-kanagawa-kamakura-myohonji,temple,長興山 妙本寺,神奈川県,needs_review,,www.myohonji.or.jp,https://www.myohonji.or.jp/,2026-07-21,寺社公式・神社庁・宗派資料等が現出典。第三者の観光・参拝掲載を追加確認する
